133,(46-34)*15+15,133,(47-34)*15+15,133,(56-34)*15+15,266,(92-67)*15+15,266,(80-67)*15+15,133,(63-34)*15+15,133,(36-34)*15+15,266,(95-67)*15+15,0,32*15+15,133,(62-34)*15+15,133,(60-34)*15+15,266,(83-67)*15+15,266,(81-67)*15+15,266,(68-67)*15+15,133,(52-34)*15+15,0,14*15+15,266,(71-67)*15+15,0,30*15+15,266,(91-67)*15+15,0,25*15+15,266,(94-67)*15+15,266,(77-67)*15+15,266,(87-67)*15+15,133,(35-34)*15+15,0,15*15+15,0,4*15+15,133,(39-34)*15+15,266,(74-67)*15+15,0,6*15+15,0,26*15+15,133,(64-34)*15+15,0,16*15+15,133,(59-34)*15+15,0,21*15+15,266,(75-67)*15+15,133,(53-34)*15+15,0,9*15+15,266,(76-67)*15+15,0,1*15+15,266,(78-67)*15+15,133,(37-34)*15+15,266,(88-67)*15+15,133,(49-34)*15+15,0,28*15+15,0,27*15+15,266,(86-67)*15+15,266,(97-67)*15+15,266,(73-67)*15+15,133,(58-34)*15+15,133,(45-34)*15+15,266,(67-67)*15+15,133,(34-34)*15+15,0,5*15+15,133,(38-34)*15+15,0,3*15+15,266,(90-67)*15+15,266,(85-67)*15+15,266,(69-67)*15+15,266,(82-67)*15+15,133,(42-34)*15+15,0,29*15+15,0,7*15+15,133,(44-34)*15+15,0,22*15+15,0,23*15+15,133,(40-34)*15+15,266,(89-67)*15+15,0,17*15+15,0,18*15+15,133,(61-34)*15+15,133,(48-34)*15+15,0,19*15+15,133,(41-34)*15+15,0,2*15+15,0,31*15+15,133,(43-34)*15+15,266,(72-67)*15+15,0,24*15+15,133,(55-34)*15+15,133,(54-34)*15+15,266,(84-67)*15+15,133,(51-34)*15+15,133,(50-34)*15+15,266,(93-67)*15+15,133,(65-34)*15+15,266,(79-67)*15+15,0,13*15+15,0,20*15+15,266,(98-67)*15+15,133,(66-34)*15+15,266,(99-67)*15+15,0,12*15+15,266,(70-67)*15+15,0,8*15+15,266,(96-67)*15+15,0,10*15+15,0,33*15+15,0,11*15+15,133,(57-34)*15+15,0,0*15+15,1466683579
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685035
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685050
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685065
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685080
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685095
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685110
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685125
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685140
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685155
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685170
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685185
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685200
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685215
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685230
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685245
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685260
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685276
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685290
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685305
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685320
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685335
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685350
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685365
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685380
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685395
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685410
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685425
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685440
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685455
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685470
133,195,460,13,464,83,266,390,266,210,438,534,411,61,266,435,880,416,133,435,133,405,266,255,266,225,266,30,133,285,0,225,401,27,0,465,404,44,0,390,403,83,403,35,266,315,749,488,459,124,0,75,133,90,266,120,860,390,0,405,870,403,0,255,446,141,567,44,266,135,133,300,625,11,266,150,0,30,666,12,133,60,266,330,133,240,0,435,0,420,405,52,266,465,266,105,133,375,133,180,266,15,133,15,495,10,133,75,447,97,405,92,266,285,266,45,266,240,133,135,463,104,0,120,133,165,502,42,0,360,133,105,871,423,495,25,-1,288,133,420,933,403,0,300,133,120,0,45,0,480,486,52,697,348,0,375,682,354,685,373,266,270,133,270,133,255,266,405,681,365,266,195,0,210,0,315,266,480,430,115,266,495,0,195,266,60,0,135,266,450,0,165,864,494,0,180,812,405,402,13,1466685485
